lexical-category	english	norwegian	pronunciation	example_sentence
noun	late check-out	en sen utsjekk	/seːn ˈʉtʂɛk/	Sen utsjekk koster ekstra.
noun	early check-in	en tidlig innsjekk	/ˈtiːdli ˈɪnːʂɛk/	Tidlig innsjekk er mulig.
noun	room service	en romservice	/ˈrʊmˌsærʋɪs/	Romservice er åpen.
noun	minibar	en minibar	/ˈmiːnɪˌbɑːr/	Minibaren er tom.
noun	parking	en parkering	/pɑrˈkeːrɪŋ/	Parkering er bak hotellet.
noun	Wi-Fi	en Wi-Fi	/ˈʋiːfi/	Wi-Fi-koden er her.
noun	password	et passord	/ˈpɑsɔʈ/	Hva er passordet?
noun	map	et kart	/kɑʈ/	Kan jeg få et kart?
noun	receipt	en kvittering	/kʋɪˈteːrɪŋ/	Kan jeg få kvittering?
noun	bill	en regning	/ˈreːnɪŋ/	Kan vi få regningen?
verb	to complain	å klage, klager, klaget, har klaget	/ˈklɑːɡə/	Jeg vil klage.
verb	to report	å melde, melder, meldte, har meldt	/ˈmɛlːə/	Jeg melder fra om støy.
verb	to lose	å miste, mister, mistet, har mistet	/ˈmɪstə/	Jeg har mistet nøkkelkortet.
adjective	broken	ødelagt	/ˈøːdəˌlɑkt/	TV-en er ødelagt.
adjective	comfortable	komfortabel	/kɔmfʊrˈtɑːbəl/	Sengen er komfortabel.
expression	The key card doesn't work.	Nøkkelkortet virker ikke.	/ˈnøːkəlˌkɔʈət ˈʋɪrːkər ˈɪkə/	Nøkkelkortet virker ikke.
expression	Can I leave my luggage?	Kan jeg sette igjen bagasjen?	/kɑn jæɪ ˈsɛtːə jæɪn bɑˈɡɑːʂən/	Kan jeg sette igjen bagasjen?
expression	Is there parking?	Er det parkering?	/æːr dɛ parkəˈreːrɪŋ/	Er det parkering her?
expression	I need a receipt.	Jeg trenger kvittering.	/jæɪ ˈtrɛŋər kʋɪˈteːrɪŋ/	Jeg trenger kvittering.
expression	Can you call a taxi?	Kan du ringe taxi?	/kɑn dʉ ˈrɪŋə ˈtɑkːsi/	Kan du ringe taxi?
noun	city map	et bykart	/ˈbyːˌkɑʈ/	Kan jeg få et bykart?
noun	guest name	et gjestenavn	/ˈjɛstənɑʋn/	Gjestenavnet står her.
noun	ID	en legitimasjon	/leɡitɪmɑˈʂuːn/	Jeg må vise legitimasjon.
noun	tourist tax	en turistskatt	/tʉˈrɪstˌskɑt/	Turistskatten er inkludert.
verb	to check availability	å sjekke tilgjengelighet, sjekker tilgjengelighet, sjekket tilgjengelighet, har sjekket tilgjengelighet	/ˈʂɛkːə tɪlˈjɛŋəlɪheːt/	Kan du sjekke tilgjengelighet?
verb	to pay with card	å betale med kort, betaler med kort, betalte med kort, har betalt med kort	/bəˈtɑːlə meː kɔʈ/	Jeg betaler med kort.
adjective	full	fullt	/fʉlt/	Hotellet er fullt.
expression	Do you have a quiet room?	Har dere et stille rom?	/hɑr ˈdeːrə et ˈstɪlːə rʊm/	Har dere et stille rom?
expression	Can I get an extra blanket?	Kan jeg få et ekstra teppe?	/kɑn jæɪ foː et ˈɛkstrɑ ˈtɛpːə/	Kan jeg få et ekstra teppe?
