lexical-category	english	norwegian	pronunciation	example_sentence	audio_file
expression	Is Wi-Fi included?	Er Wi-Fi inkludert?	/ær ˈʋiːfi ɪnkluˈdeːʈ/	Er Wi-Fi inkludert?	
expression	Can I have a late check-out?	Kan jeg få sen utsjekk?	/kɑn jæɪ foː seːn ˈʉtʂɛk/	Kan jeg få sen utsjekk?	
noun	map	et kart	/kɑʈ/	Har dere et kart over byen?	
noun	booking	en bestilling	/beˈstɪlɪŋ/	Bestillingen er bekreftet.	[audio](audio/forvo_no/no_bestilling_2905433_001.mp3)
noun	confirmation	en bekreftelse	/bəˈkrɛftəlsə/	Jeg har bekreftelse på e-post.	[audio](audio/forvo_no/no_bekreftelse_1167287_001.mp3)
noun	guest	en gjest	/jɛst/	Gjestene venter.	
noun	room	en rom	/ruːm/	Rommet er klart.	[audio](audio/forvo_no/no_rom_6056697_001.mp3)
noun	room number	et romnummer	/ˈrʊmˌnʉmːər/	Romnummeret er 504.	
noun	key card	et nøkkelkort	/ˈnøːkəlˌkɔʈ/	Nøkkelkortet virker ikke.	
noun	luggage	en bagasje	/bɑˈɡɑːʂə/	Bagasjen er tung.	[audio](audio/forvo_no/no_bagasje_294439_001.mp3)
noun	suitcase	en koffert	/kʊˈfɛʈ/	Kofferten står her.	[audio](audio/forvo_no/no_koffert_2330519_001.mp3)
noun	bag	en bag	/bɑːɡ/	Jeg har en bag.	[audio](audio/forvo_no/no_bag_4768911_001.mp3)
noun	backpack	en ryggsekk	/ˈrʏɡˌsɛk/	Ryggsekken er stor.	[audio](audio/forvo_no/no_ryggsekk_2355944_001.mp3)
noun	breakfast buffet	en frokostbuffé	/ˈfruːkɔstˌbʉfeː/	Frokostbufféen åpner klokka sju.	
noun	lunch	en lunsj	/lʉnʂ/	Lunsj er fra tolv.	[audio](audio/forvo_no/no_lunsj_152553_001.mp3)
noun	dinner	en middag	/ˈmɪdɑɡ/	Middagen serveres klokka seks.	[audio](audio/forvo_no/no_middag_296841_001.mp3)
noun	restaurant	en restaurant	/rɛstʉˈrɑŋ/	Hotellet har restaurant.	[audio](audio/forvo_no/no_restaurant_743130_001.mp3)
noun	bar	en bar	/bɑːr/	Baren er åpen.	[audio](audio/forvo_no/no_bar_3243585_001.mp3)
noun	lobby	en lobby	/ˈlɔbi/	Vi møtes i lobbyen.	
noun	lounge	en salong	/sɑˈlɔŋ/	Salongen er rolig.	
noun	gym	en treningsrom	/ˈtreːnɪŋsˌrʊm/	Treningsrommet er i kjelleren.	
noun	pool	et basseng	/bɑˈsɛŋ/	Bassenget er stengt.	[audio](audio/forvo_no/no_basseng_1811688_001.mp3)
noun	sauna	en badstue	/ˈbɑːdstʉə/	Badstua er varm.	[audio](audio/forvo_no/no_badstue_5026086_001.mp3)
noun	laundry	et vaskeri	/ʋɑˈskɛːri/	Vaskeriet er i første etasje.	[audio](audio/forvo_no/no_vaskeri_5026091_001.mp3)
noun	towel	et håndkle	/ˈhɔnːklə/	Jeg trenger et håndkle.	[audio](audio/forvo_no/no_h_ndkle_1059589_001.mp3)
noun	bed	en seng	/sɛŋ/	Sengen er komfortabel.	[audio](audio/forvo_no/no_seng_724275_001.mp3)
noun	blanket	et teppe	/ˈtɛpːə/	Kan jeg få et ekstra teppe?	
noun	pillow	en pute	/ˈpʉːtə/	Jeg trenger en ekstra pute.	[audio](audio/forvo_no/no_Pute_2559250_001.mp3)
noun	air conditioning	en aircondition	/ˈæːrˌkɔndɪʂuːn/	Aircondition virker ikke.	
noun	heating	en varme	/ˈʋɑrmə/	Varmeen er av.	[audio](audio/forvo_no/no_varme_3244037_001.mp3)
noun	noise	en støy	/stœy/	Det er mye støy.	
noun	view	en utsikt	/ˈʉtˌsɪkt/	Rommet har fin utsikt.	
noun	sea view	en havutsikt	/ˈhɑːʋˌʉtˌsɪkt/	Jeg vil ha havutsikt.	
noun	city center	en sentrum	/ˈsɛntrʉm/	Hotellet ligger i sentrum.	[audio](audio/forvo_no/no_sentrum_16194_001.mp3)
noun	address	en adresse	/ɑˈdrɛsə/	Hva er adressen?	[audio](audio/forvo_no/no_Adresse_351590_001.mp3)
noun	tourist information	en turistinformasjon	/tʉˈrɪstˌɪnfɔrˈmɑʂuːn/	Turistinformasjonen er der.	[audio](audio/forvo_no/no_turistinformasjon_744502_001.mp3)
noun	sight	en severdighet	/ˈseːʋərdɪˌheːt/	Det er mange severdigheter.	[audio](audio/forvo_no/no_severdighet_769273_001.mp3)
noun	ticket	en billett	/bɪˈlɛt/	Jeg kjøper en billett.	[audio](audio/forvo_no/no_Billett_294351_001.mp3)
noun	guide	en guide	/ˈɡaɪdə/	Guiden starter klokka ti.	[audio](audio/forvo_no/no_guide_3243568_001.mp3)
noun	tour	en omvisning	/ˈɔmˌʋiːsniŋ/	Vi blir med på omvisning.	
noun	reservation number	et reservasjonsnummer	/resɛrʋɑˈʂuːnsˌnʉmːər/	Reservasjonsnummeret er her.	
verb	to check in	å sjekke inn, sjekker inn, sjekket inn, har sjekket inn	/ˈʂɛkːə ɪn/	Vi sjekker inn nå.	[audio](audio/forvo_no/no_sjekke_inn_2904450_001.mp3)
verb	to check out	å sjekke ut, sjekker ut, sjekket ut, har sjekket ut	/ˈʂɛkːə ʉːt/	Vi sjekker ut klokka tolv.	[audio](audio/forvo_no/no_sjekke_ut_2904449_001.mp3)
verb	to book	å bestille, bestiller, bestillte, har bestillt	/beˈstɪlə/	Jeg vil bestille rom.	[audio](audio/forvo_no/no_bestille_1068661_001.mp3)
verb	to cancel	å avbestille, avbestiller, avbestillte, har avbestillt	/ˈɑːʋbəˌstɪlːə/	Jeg må avbestille.	[audio](audio/forvo_no/no_avbestille_1091423_001.mp3)
verb	to pay	å betale, betaler, betalte, har betalt	/beˈtɑːlə/	Jeg betaler nå.	[audio](audio/forvo_no/no_betale_3819645_001.mp3)
verb	to extend stay	å forlenge oppholdet, forlenger oppholdet, forlenget oppholdet, har forlenget oppholdet	/fɔrˈlɛŋə ˈɔpˌhɔlːət/	Jeg vil forlenge oppholdet.	
verb	to store luggage	å oppbevare bagasje, oppbevarer bagasje, oppbevarte bagasje, har oppbevart bagasje	/ˈɔpːbəˌʋɑːrə bɑˈɡɑːʂə/	Kan dere oppbevare bagasjen?	
verb	to wake up	å våkne, våkner, våknet, har våknet	/ˈʋoːknə/	Jeg våkner tidlig.	[audio](audio/forvo_no/no_v_kne_1068290_001.mp3)
verb	to order a taxi	å bestille taxi, bestiller taxi, bestillte taxi, har bestillt taxi	/beˈstɪlə ˈtɑkːsi/	Kan du bestille taxi?	
verb	to recommend	å anbefale, anbefaler, anbefalte, har anbefalt	/ˈɑnbəˌfɑːlə/	Kan du anbefale en restaurant?	
adjective	available	ledig	/ˈleːdi/	Er det ledig rom?	[audio](audio/forvo_no/no_ledig_4331367_001.mp3)
adjective	occupied	opptatt	/ˈɔpːtɑt/	Rommet er opptatt.	[audio](audio/forvo_no/no_opptatt_1951848_001.mp3)
adjective	clean	ren	/reːn/	Rommet er rent.	[audio](audio/forvo_no/no_ren_7666954_001.mp3)
adjective	dirty	skittent	/ˈʂɪtːənt/	Badet er skittent.	[audio](audio/forvo_no/no_skittent_5026190_001.mp3)
adjective	quiet	stille	/ˈstɪlːə/	Rommet er stille.	[audio](audio/forvo_no/no_stille_767362_001.mp3)
adjective	noisy	bråkete	/ˈbrɔːkətə/	Det er bråkete om natten.	
adjective	included	inkludert	/ɪnkluˈdeːʈ/	Frokost er inkludert.	[audio](audio/forvo_no/no_inkludert_1630206_001.mp3)
adjective	extra	ekstra	/ˈɛkstrɑ/	Ekstra håndkle koster.	[audio](audio/forvo_no/no_ekstra_4758321_001.mp3)
expression	I have a reservation.	Jeg har en reservasjon.	/jæɪ hɑr en resɛrʋɑˈʂuːn/	Jeg har en reservasjon.	
expression	Can I have a room with a view?	Kan jeg få et rom med utsikt?	/kɑn jæɪ foː et rʊm meː ˈʉtˌsɪkt/	Kan jeg få et rom med utsikt?	
expression	Is breakfast included?	Er frokost inkludert?	/æːr ˈfruːkɔst ɪnkluˈdeːʈ/	Er frokost inkludert?	
expression	Can I get a wake-up call?	Kan jeg få vekking?	/kɑn jæɪ foː ˈʋɛkːɪŋ/	Kan jeg få vekking klokka sju?	
expression	Where is the elevator?	Hvor er heisen?	/ʋuːr ær ˈhæɪsən/	Hvor er heisen?	
noun	late check-out	en sen utsjekk	/seːn ˈʉtʂɛk/	Sen utsjekk koster ekstra.	
noun	early check-in	en tidlig innsjekk	/ˈtiːdli ˈɪnːʂɛk/	Tidlig innsjekk er mulig.	
noun	room service	en romservice	/ˈrʊmˌsærʋɪs/	Romservice er åpen.	
noun	minibar	en minibar	/ˈmiːnɪˌbɑːr/	Minibaren er tom.	
noun	parking	en parkering	/pɑrˈkeːrɪŋ/	Parkering er bak hotellet.	[audio](audio/forvo_no/no_parkering_5643967_001.mp3)
noun	Wi-Fi	en Wi-Fi	/ˈʋiːfi/	Wi-Fi-koden er her.	
noun	password	et passord	/ˈpɑsɔʈ/	Hva er passordet?	[audio](audio/forvo_no/no_passord_3243134_001.mp3)
noun	map	et kart	/kɑʈ/	Kan jeg få et kart?	
noun	receipt	en kvittering	/kʋɪˈteːrɪŋ/	Kan jeg få kvittering?	[audio](audio/forvo_no/no_kvittering_4342473_001.mp3)
noun	bill	en regning	/ˈreːnɪŋ/	Kan vi få regningen?	[audio](audio/forvo_no/no_regning_3483292_001.mp3)
verb	to complain	å klage, klager, klaget, har klaget	/ˈklɑːɡə/	Jeg vil klage.	[audio](audio/forvo_no/no_Klage_1167216_001.mp3)
verb	to report	å melde, melder, meldte, har meldt	/ˈmɛlːə/	Jeg melder fra om støy.	[audio](audio/forvo_no/no_melde_1065559_001.mp3)
verb	to lose	å miste, mister, mistet, har mistet	/ˈmɪstə/	Jeg har mistet nøkkelkortet.	
adjective	broken	ødelagt	/ˈøːdəˌlɑkt/	TV-en er ødelagt.	[audio](audio/forvo_no/no_delagt_363087_001.mp3)
adjective	comfortable	komfortabel	/kɔmfʊrˈtɑːbəl/	Sengen er komfortabel.	[audio](audio/forvo_no/no_komfortabel_4761536_001.mp3)
expression	The key card doesn't work.	Nøkkelkortet virker ikke.	/ˈnøːkəlˌkɔʈət ˈʋɪrːkər ˈɪkə/	Nøkkelkortet virker ikke.	
expression	Can I leave my luggage?	Kan jeg sette igjen bagasjen?	/kɑn jæɪ ˈsɛtːə jæɪn bɑˈɡɑːʂən/	Kan jeg sette igjen bagasjen?	
expression	Is there parking?	Er det parkering?	/æːr dɛ parkəˈreːrɪŋ/	Er det parkering her?	
expression	I need a receipt.	Jeg trenger kvittering.	/jæɪ ˈtrɛŋər kʋɪˈteːrɪŋ/	Jeg trenger kvittering.	
expression	Can you call a taxi?	Kan du ringe taxi?	/kɑn dʉ ˈrɪŋə ˈtɑkːsi/	Kan du ringe taxi?	
noun	city map	et bykart	/ˈbyːˌkɑʈ/	Kan jeg få et bykart?	[audio](audio/forvo_no/no_bykart_6475930_001.mp3)
noun	guest name	et gjestenavn	/ˈjɛstənɑʋn/	Gjestenavnet står her.	
noun	ID	en legitimasjon	/leɡitɪmɑˈʂuːn/	Jeg må vise legitimasjon.	[audio](audio/forvo_no/no_legitimasjon_2330746_001.mp3)
noun	tourist tax	en turistskatt	/tʉˈrɪstˌskɑt/	Turistskatten er inkludert.	
verb	to check availability	å sjekke tilgjengelighet, sjekker tilgjengelighet, sjekket tilgjengelighet, har sjekket tilgjengelighet	/ˈʂɛkːə tɪlˈjɛŋəlɪheːt/	Kan du sjekke tilgjengelighet?	
verb	to pay with card	å betale med kort, betaler med kort, betalte med kort, har betalt med kort	/bəˈtɑːlə meː kɔʈ/	Jeg betaler med kort.	
adjective	full	fullt	/fʉlt/	Hotellet er fullt.	[audio](audio/forvo_no/no_fullt_1630176_001.mp3)
expression	Do you have a quiet room?	Har dere et stille rom?	/hɑr ˈdeːrə et ˈstɪlːə rʊm/	Har dere et stille rom?	
expression	Can I get an extra blanket?	Kan jeg få et ekstra teppe?	/kɑn jæɪ foː et ˈɛkstrɑ ˈtɛpːə/	Kan jeg få et ekstra teppe?	
