lexical-category	english	norwegian	pronunciation	example_sentence
noun	scarf	en skjerf	/ʂærf/	Jeg bruker skjerf.
noun	pair of sunglasses	en solbrille	/ˈsuːlˌbrɪlːər/	Solbrillen ligger i bilen.
noun	trail	en sti	/stiː/	Vi går på en sti.
noun	path	en vei	/ʋæɪ/	Vi følger veien.
noun	hill	en bakke	/ˈbɑkːə/	Bakken er bratt.
noun	mountain	et fjell	/fjɛl/	Vi går på fjellet.
noun	forest	en skog	/skuːɡ/	Skogen er grønn.
noun	lake	en innsjø	/ˈɪnːʂøː/	Innsjøen er kald.
noun	river	ei elv	/ælʋ/	Elva er stor.
noun	beach	ei strand	/strɑn/	Stranda er fin.
noun	park	en park	/pɑʈk/	Vi møtes i parken.
noun	camping	en camping	/ˈkɑmpɪŋ/	Vi skal på camping.
noun	tent	et telt	/tɛlt/	Teltet er nytt.
noun	bonfire	en bål	/bɔːl/	Vi lager bål.
noun	picnic	en piknik	/ˈpɪknɪk/	Vi har piknik.
noun	trip	en tur	/tʉːr/	Vi tar en tur.
noun	hike	en fottur	/ˈfɔtːʉːr/	Vi går på fottur.
noun	bike ride	en sykkeltur	/ˈsʏkːəlˌtʉːr/	Jeg tar en sykkeltur.
noun	outdoor activity	en uteaktivitet	/ˈʉːtəɑkˌtiːʋiˌteːt/	Uteaktiviteter er gøy.
verb	to rain	å regne, regner, regnet, har regnet	/ˈræɪnə/	Det regner i dag.
verb	to snow	å snø, snør, snødde, har snødd	/snøː/	Det snør nå.
verb	to blow (wind)	å blåse, blåser, blåset, har blåset	/ˈbloːsə/	Det blåser mye.
verb	to thunder	å tordne, tordner, tordnet, har tordnet	/ˈtɔrːnə/	Det tordner i kveld.
verb	to clear up	å lette, letter, lettet, har lettet	/ˈlɛtːə/	Det letter i ettermiddag.
verb	to melt	å smelte, smelter, smeltet, har smeltet	/ˈsmɛltə/	Snøen smelter.
verb	to slip	å skli, sklir, skled, har sklidd	/ʂliː/	Pass på å ikke skli.
verb	to hike	å gå tur, går tur, gikk tur, har gått tur	/ɡoː tʉːr/	Vi går tur i skogen.
verb	to camp	å campere, camperer, camperte, har campert	/kɑmˈpeːrə/	Vi camper i helgen.
verb	to grill	å grille, griller, grillet, har grillet	/ˈɡrɪlːə/	Vi griller i parken.
verb	to sunbathe	å sole seg, soler seg, solet seg, har solet seg	/ˈsuːlə sæɪ/	De soler seg på stranden.
adjective	sunny	solfylt	/ˈsuːlˌfʏlt/	Det er solfylt i dag.
adjective	cloudy	skyet	/ˈʂyːət/	Det er skyet.
adjective	windy	vindfull	/ˈʋɪnːdˌfʉl/	Det er vindfullt.
adjective	rainy	regnfull	/ˈræɪnˌfʉl/	Det er regnfullt.
adjective	dry	tørt	/tœʈ/	Det er tørt ute.
adjective	wet	våt	/ʋoːt/	Jeg er våt.
adjective	clear	klart	/klɑʈ/	Himmelen er klar.
adjective	icy	isete	/ˈiːsətə/	Veien er isete.
adjective	warm	varm	/ʋɑrm/	Det er varm vind.
adjective	cold	kald	/kɑl/	Det er kald vind.
expression	It's going to rain.	Det kommer til å regne.	/deːt ˈkɔmːər tɪl o ˈræɪnə/	Det kommer til å regne senere.
expression	It looks like snow.	Det ser ut som snø.	/deːt seːr ʉːt sɔm snøː/	Det ser ut som snø.
expression	Let's go for a walk.	Skal vi ta en tur?	/skɑl vi tɑ en tʉːr/	Skal vi ta en tur?
noun	rainbow	en regnbue	/ˈræɪnˌbʉːə/	Det er en regnbue.
noun	weather report	et værvarsel	/ˈʋæːrˌʋɑʂəl/	Værvarselet sier sol.
noun	temperature change	en temperaturskifte	/tɛmpərɑˈtʉːʂkɪftə/	Det er temperaturskifte.
verb	to pack	å pakke, pakker, pakket, har pakket	/ˈpɑkːə/	Jeg pakker for tur.
adjective	stormy	stormfull	/ˈstɔʈmˌfʉl/	Det er stormfullt.
expression	Be careful, it's slippery.	Vær forsiktig, det er glatt.	/ʋæːr fɔˈʂɪktɪ, deːt ær ɡlɑt/	Vær forsiktig, det er glatt.
expression	It's getting warmer.	Det blir varmere.	/deːt bliːr ˈʋɑrmərə/	Det blir varmere i morgen.
noun	wind chill	en vindavkjøling	/ˈʋɪnːdˌɑʋˌçøːlɪŋ/	Vindavkjølingen er høy.
noun	temperature drop	en temperaturfall	/tɛmpərɑˈtʉːrˌfɑl/	Det blir temperaturfall i natt.
noun	puddle	en vanndam	/ˈʋɑnːˌdɑm/	Hopp over vanndammen.
noun	rain boot	en regnstøvel	/ˈræɪnˌstøːʋlər/	Regnstøvelen er tørr.
verb	to dry	å tørke, tørker, tørket, har tørket	/ˈtœrkə/	Klærne tørker.
verb	to sweat	å svette, svetter, svettet, har svettet	/ˈsʋɛtːə/	Jeg svetter i solen.
adjective	humid	fuktig	/ˈfʉktɪ/	Det er fuktig ute.
adjective	cool	kjølig	/ˈçøːli/	Det er kjølig i dag.
expression	It’s sunny but cold.	Det er sol, men kaldt.	/deːt ær suːl mɛn kɑlt/	Det er sol, men kaldt.
