lexical-category	english	norwegian	pronunciation	example_sentence	audio_file
noun	radiator	en radiator	/rɑdɪˈɑːtʊr/	Radiatoren er kald.	[audio](audio/forvo_no/no_radiator_2354786_001.mp3)
noun	fireplace	en peis	/pæɪs/	Peisen gir varme.	
noun	smoke detector	en røykvarsler	/ˈrœykˌʋɑʂlər/	Røykvarsleren piper.	[audio](audio/forvo_no/no_r_ykvarsler_1746940_001.mp3)
noun	water heater	en bereder	/bəˈreːdər/	Berederen er tom.	
noun	washing machine	en vaskemaskin	/ˈʋɑskəˌmɑʂiːn/	Vaskemaskinen er full.	[audio](audio/forvo_no/no_vaskemaskin_805119_001.mp3)
noun	dryer	en tørketrommel	/ˈtœrkəˌtrʊmːəl/	Tørketrommelen virker ikke.	[audio](audio/forvo_no/no_t_rketrommel_1167716_001.mp3)
noun	dishwasher	en oppvaskmaskin	/ˈɔpːʋɑskəˌmɑʂiːn/	Oppvaskmaskinen er ny.	[audio](audio/forvo_no/no_oppvaskmaskin_4618615_001.mp3)
noun	fridge	et kjøleskap	/ˈçøːləˌskɑːp/	Kjøleskapet er fullt.	[audio](audio/forvo_no/no_kj_leskap_2355943_001.mp3)
noun	freezer	en fryser	/ˈfryːsər/	Fryseren er tom.	[audio](audio/forvo_no/no_fryser_4342450_001.mp3)
noun	stove	en komfyr	/ˈkɔmfyːr/	Komfyren er ødelagt.	
noun	oven	en stekeovn	/ˈsteːkəˌɔʋn/	Stekeovnen er varm.	[audio](audio/forvo_no/no_stekeovn_6940096_001.mp3)
noun	sink	en vask	/ʋɑsk/	Vasken er tett.	[audio](audio/forvo_no/no_vask_2901851_001.mp3)
noun	tap	en kran	/krɑːn/	Kranen drypper.	[audio](audio/forvo_no/no_Kran_3938739_001.mp3)
noun	toilet	et toalett	/tʊɑˈlɛt/	Toalettet er lekk.	[audio](audio/forvo_no/no_toalett_293668_001.mp3)
noun	shower	en dusj	/dʉʂ/	Dusjen er kald.	[audio](audio/forvo_no/no_dusj_295869_001.mp3)
noun	bathtub	et badekar	/ˈbɑːdəˌkɑːr/	Badekaret er stort.	[audio](audio/forvo_no/no_badekar_582514_001.mp3)
noun	mirror	et speil	/spæɪl/	Speilet er rent.	[audio](audio/forvo_no/no_speil_767711_001.mp3)
noun	curtain	en gardin	/ɡɑˈɖiːn/	Gardinen er blå.	[audio](audio/forvo_no/no_gardin_2354801_001.mp3)
noun	carpet	et teppe	/ˈtɛpːə/	Teppet er mykt.	
noun	closet	et skap	/skɑːp/	Skapet er fullt.	
noun	drawer	en skuff	/skʉf/	Skuffen er tom.	[audio](audio/forvo_no/no_skuff_4758457_001.mp3)
noun	bed	en seng	/sɛŋ/	Sengen er komfortabel.	[audio](audio/forvo_no/no_seng_724275_001.mp3)
noun	pillow	en pute	/ˈpʉːtə/	Jeg trenger en pute.	[audio](audio/forvo_no/no_Pute_2559250_001.mp3)
noun	blanket	et teppe	/ˈtɛpːə/	Jeg tar et teppe.	
noun	sheet	et laken	/ˈlɑːkən/	Lakenet er rent.	[audio](audio/forvo_no/no_laken_3481104_001.mp3)
noun	sofa	en sofa	/ˈsuːfɑ/	Sofaen er stor.	
noun	armchair	en lenestol	/ˈleːnəˌstuːl/	Lenestolen er komfortabel.	
noun	table	et bord	/buːr/	Bordet er rundt.	
noun	chair	en stol	/stuːl/	Stolen er løs.	[audio](audio/forvo_no/no_stol_316094_001.mp3)
noun	shelf	en hylle	/ˈhʏlːə/	Hylla henger skjevt.	[audio](audio/forvo_no/no_hylle_4344191_001.mp3)
noun	vacuum cleaner	en støvsuger	/ˈstøːʋˌsʉːɡər/	Støvsugeren er tung.	[audio](audio/forvo_no/no_st_vsuger_1197865_001.mp3)
noun	mop	en mopp	/mɔp/	Jeg vasker gulvet med mopp.	[audio](audio/forvo_no/no_Mopp_6463509_001.mp3)
noun	bucket	en bøtte	/ˈbœtːə/	Bøtta er full.	
noun	trash	en søppel	/ˈsœpːəl/	Søpla må ut.	[audio](audio/forvo_no/no_s_ppel_2474433_001.mp3)
noun	trash bag	en søppelpose	/ˈsœpːəlˌpuːsə/	Jeg bytter søppelpose.	[audio](audio/forvo_no/no_s_ppelpose_1764115_001.mp3)
noun	recycling	en kildesortering	/ˈçɪldəˌsuʈeːrɪŋ/	Vi har kildesortering.	[audio](audio/forvo_no/no_kildesortering_1764113_001.mp3)
noun	key	en nøkkel	/ˈnøːkəl/	Jeg har mistet nøkkelen.	
noun	spare key	en ekstranøkkel	/ˈɛkstrɑˌnøːkəl/	Har du en ekstranøkkel?	
noun	doorbell	en ringeklokke	/ˈrɪŋəˌklɔkːə/	Ringeklokken virker ikke.	
noun	mailbox	en postkasse	/ˈpɔstˌkɑsə/	Postkassen er full.	
noun	lease	en leiekontrakt	/ˈlæɪəˌkɔntrɑkt/	Leiekontrakten varer et år.	
noun	deposit	et depositum	/deˈpɔsɪtʉm/	Depositumet er betalt.	[audio](audio/forvo_no/no_depositum_1753665_001.mp3)
noun	rent increase	en leieøkning	/ˈlæɪəˌøːkniŋ/	Leieøkningen starter i juli.	
noun	utility cost	en felleskostnad	/ˈfɛlːəsˌkɔstnɑːdər/	Felleskostnaden er inkludert.	
noun	maintenance	en vedlikehold	/ˈʋeːdˌlɪkəˌhɔl/	Vedlikehold er viktig.	[audio](audio/forvo_no/no_vedlikehold_4746845_001.mp3)
noun	contract	en kontrakt	/kɔnˈtrɑkt/	Jeg signerer kontrakten.	[audio](audio/forvo_no/no_kontrakt_4322663_001.mp3)
noun	insurance	en forsikring	/fɔˈʂɪkrɪŋ/	Innboforsikring er nyttig.	[audio](audio/forvo_no/no_forsikring_800716_001.mp3)
noun	internet	en internett	/ˈɪnːtərnɛt/	Internett er inkludert.	[audio](audio/forvo_no/no_internett_2187622_001.mp3)
noun	electricity	en strøm	/strøm/	Strømmen er dyr.	[audio](audio/forvo_no/no_str_m_214836_001.mp3)
noun	water	et vann	/ʋɑn/	Vannet er stengt.	[audio](audio/forvo_no/no_vann_141822_001.mp3)
noun	heating	en oppvarming	/ˈɔpːʋɑrmɪŋ/	Oppvarming er inkludert.	[audio](audio/forvo_no/no_oppvarming_2559266_001.mp3)
verb	to turn on	å slå på, slår på, slo på, har slått på	/ˈsloː pɔː/	Slå på lyset.	
verb	to turn off	å slå av, slår av, slo av, har slått av	/ˈsloː ɑːʋ/	Slå av ovnen.	
verb	to open	å åpne, åpner, åpnet, har åpnet	/ˈoːpnə/	Kan du åpne vinduet?	[audio](audio/forvo_no/no_pne_767359_001.mp3)
verb	to close	å lukke, lukker, lukket, har lukket	/ˈlʉkːə/	Lukk døra, takk.	[audio](audio/forvo_no/no_lukke_856520_001.mp3)
verb	to lock	å låse, låser, låste, har låst	/ˈloːsə/	Husk å låse døra.	[audio](audio/forvo_no/no_l_se_2559259_001.mp3)
verb	to unlock	å låse opp, låser opp, låste opp, har låst opp	/ˈloːsə ɔp/	Jeg låser opp døra.	
verb	to clean	å vaske, vasker, vasket, har vasket	/ˈʋɑskə/	Jeg vasker badet.	[audio](audio/forvo_no/no_vaske_1365715_001.mp3)
verb	to sweep	å feie, feier, feide, har feid	/ˈfæɪə/	Jeg feier gulvet.	[audio](audio/forvo_no/no_feie_1066596_001.mp3)
verb	to vacuum	å støvsuge, støvsuger, støvsuget, har støvsuget	/ˈstøːʋˌsʉːɡə/	Jeg støvsuger stua.	[audio](audio/forvo_no/no_st_vsuge_4328696_001.mp3)
verb	to fix	å fikse, fikser, fikset, har fikset	/ˈfɪksə/	Jeg må fikse kranen.	
verb	to paint	å male, maler, malte, har malt	/ˈmɑːlə/	Vi maler veggen.	[audio](audio/forvo_no/no_male_3663966_001.mp3)
adjective	clean	ren	/reːn/	Kjøkkenet er rent.	[audio](audio/forvo_no/no_ren_7666954_001.mp3)
adjective	dirty	skitten	/ˈʂɪtːən/	Gulvet er skittent.	[audio](audio/forvo_no/no_skitten_3498869_001.mp3)
adjective	broken	ødelagt	/ˈøːdəˌlɑkt/	Døra er ødelagt.	[audio](audio/forvo_no/no_delagt_363087_001.mp3)
adjective	bright	lys	/lyːs/	Rommet er lyst.	[audio](audio/forvo_no/no_lys_141754_001.mp3)
adjective	dark	mørk	/mœrk/	Kjelleren er mørk.	[audio](audio/forvo_no/no_M_rk_370686_001.mp3)
adjective	cold	kald	/kɑl/	Det er kaldt inne.	[audio](audio/forvo_no/no_kald_3483297_001.mp3)
adjective	hot	varm	/ʋɑrm/	Vannet er varmt.	[audio](audio/forvo_no/no_varm_805127_001.mp3)
expression	There is a leak.	Det er lekkasje.	/deːt ær leˈkɑːʂə/	Det er lekkasje på badet.	
expression	The power is out.	Strømmen har gått.	/ˈstrømːən hɑr ɡoːt/	Strømmen har gått igjen.	
noun	balcony door	ei balkongdør	/bɑlˈkɔŋˌdøːr/	Balkongdøra er åpen.	
expression	The sink is clogged.	Vasken er tett.	/ˈʋɑskən ær tɛt/	Vasken er tett.	
