lexical-category	english	norwegian	pronunciation	example_sentence	audio_file
noun	bar	en bar	/bɑːr/	Baren er åpen.	audio/forvo_no/no_bar_3243585_001.mp3
noun	lobby	en lobby	/ˈlɔbi/	Vi møtes i lobbyen.	null
noun	lounge	en salong	/sɑˈlɔŋ/	Salongen er rolig.	null
noun	gym	en treningsrom	/ˈtreːnɪŋsˌrʊm/	Treningsrommet er i kjelleren.	null
noun	pool	et basseng	/bɑˈsɛŋ/	Bassenget er stengt.	audio/forvo_no/no_basseng_1811688_001.mp3
noun	sauna	en badstue	/ˈbɑːdstʉə/	Badstua er varm.	audio/forvo_no/no_badstue_5026086_001.mp3
noun	laundry	et vaskeri	/ʋɑˈskɛːri/	Vaskeriet er i første etasje.	audio/forvo_no/no_vaskeri_5026091_001.mp3
noun	towel	et håndkle	/ˈhɔnːklə/	Jeg trenger et håndkle.	audio/forvo_no/no_h_ndkle_1059589_001.mp3
noun	bed	en seng	/sɛŋ/	Sengen er komfortabel.	audio/forvo_no/no_seng_724275_001.mp3
noun	blanket	et teppe	/ˈtɛpːə/	Kan jeg få et ekstra teppe?	null
noun	pillow	en pute	/ˈpʉːtə/	Jeg trenger en ekstra pute.	audio/forvo_no/no_Pute_2559250_001.mp3
noun	air conditioning	en aircondition	/ˈæːrˌkɔndɪʂuːn/	Aircondition virker ikke.	null
noun	heating	en varme	/ˈʋɑrmə/	Varmeen er av.	audio/forvo_no/no_varme_3244037_001.mp3
noun	noise	en støy	/stœy/	Det er mye støy.	null
noun	view	en utsikt	/ˈʉtˌsɪkt/	Rommet har fin utsikt.	null
noun	sea view	en havutsikt	/ˈhɑːʋˌʉtˌsɪkt/	Jeg vil ha havutsikt.	null
noun	city center	en sentrum	/ˈsɛntrʉm/	Hotellet ligger i sentrum.	audio/forvo_no/no_sentrum_16194_001.mp3
noun	address	en adresse	/ɑˈdrɛsə/	Hva er adressen?	audio/forvo_no/no_Adresse_351590_001.mp3
noun	tourist information	en turistinformasjon	/tʉˈrɪstˌɪnfɔrˈmɑʂuːn/	Turistinformasjonen er der.	audio/forvo_no/no_turistinformasjon_744502_001.mp3
noun	sight	en severdighet	/ˈseːʋərdɪˌheːt/	Det er mange severdigheter.	audio/forvo_no/no_severdighet_769273_001.mp3
noun	ticket	en billett	/bɪˈlɛt/	Jeg kjøper en billett.	audio/forvo_no/no_Billett_294351_001.mp3
noun	guide	en guide	/ˈɡaɪdə/	Guiden starter klokka ti.	audio/forvo_no/no_guide_3243568_001.mp3
noun	tour	en omvisning	/ˈɔmˌʋiːsniŋ/	Vi blir med på omvisning.	null
noun	reservation number	et reservasjonsnummer	/resɛrʋɑˈʂuːnsˌnʉmːər/	Reservasjonsnummeret er her.	null
verb	to check in	å sjekke inn, sjekker inn, sjekket inn, har sjekket inn	/ˈʂɛkːə ɪn/	Vi sjekker inn nå.	audio/forvo_no/no_sjekke_inn_2904450_001.mp3
verb	to check out	å sjekke ut, sjekker ut, sjekket ut, har sjekket ut	/ˈʂɛkːə ʉːt/	Vi sjekker ut klokka tolv.	audio/forvo_no/no_sjekke_ut_2904449_001.mp3
verb	to book	å bestille, bestiller, bestillte, har bestillt	/beˈstɪlə/	Jeg vil bestille rom.	audio/forvo_no/no_bestille_1068661_001.mp3
verb	to cancel	å avbestille, avbestiller, avbestillte, har avbestillt	/ˈɑːʋbəˌstɪlːə/	Jeg må avbestille.	audio/forvo_no/no_avbestille_1091423_001.mp3
verb	to pay	å betale, betaler, betalte, har betalt	/beˈtɑːlə/	Jeg betaler nå.	audio/forvo_no/no_betale_3819645_001.mp3
verb	to extend stay	å forlenge oppholdet, forlenger oppholdet, forlenget oppholdet, har forlenget oppholdet	/fɔrˈlɛŋə ˈɔpˌhɔlːət/	Jeg vil forlenge oppholdet.	null
verb	to store luggage	å oppbevare bagasje, oppbevarer bagasje, oppbevarte bagasje, har oppbevart bagasje	/ˈɔpːbəˌʋɑːrə bɑˈɡɑːʂə/	Kan dere oppbevare bagasjen?	null
verb	to wake up	å våkne, våkner, våknet, har våknet	/ˈʋoːknə/	Jeg våkner tidlig.	audio/forvo_no/no_v_kne_1068290_001.mp3
verb	to order a taxi	å bestille taxi, bestiller taxi, bestillte taxi, har bestillt taxi	/beˈstɪlə ˈtɑkːsi/	Kan du bestille taxi?	null
verb	to recommend	å anbefale, anbefaler, anbefalte, har anbefalt	/ˈɑnbəˌfɑːlə/	Kan du anbefale en restaurant?	null
adjective	available	ledig	/ˈleːdi/	Er det ledig rom?	audio/forvo_no/no_ledig_4331367_001.mp3
adjective	occupied	opptatt	/ˈɔpːtɑt/	Rommet er opptatt.	audio/forvo_no/no_opptatt_1951848_001.mp3
adjective	clean	ren	/reːn/	Rommet er rent.	audio/forvo_no/no_ren_7666954_001.mp3
adjective	dirty	skittent	/ˈʂɪtːənt/	Badet er skittent.	audio/forvo_no/no_skittent_5026190_001.mp3
adjective	quiet	stille	/ˈstɪlːə/	Rommet er stille.	audio/forvo_no/no_stille_767362_001.mp3
adjective	noisy	bråkete	/ˈbrɔːkətə/	Det er bråkete om natten.	null
adjective	included	inkludert	/ɪnkluˈdeːʈ/	Frokost er inkludert.	audio/forvo_no/no_inkludert_1630206_001.mp3
adjective	extra	ekstra	/ˈɛkstrɑ/	Ekstra håndkle koster.	audio/forvo_no/no_ekstra_4758321_001.mp3
expression	I have a reservation.	Jeg har en reservasjon.	/jæɪ hɑr en resɛrʋɑˈʂuːn/	Jeg har en reservasjon.	null
expression	Can I have a room with a view?	Kan jeg få et rom med utsikt?	/kɑn jæɪ foː et rʊm meː ˈʉtˌsɪkt/	Kan jeg få et rom med utsikt?	null
expression	Is breakfast included?	Er frokost inkludert?	/æːr ˈfruːkɔst ɪnkluˈdeːʈ/	Er frokost inkludert?	null
expression	Can I get a wake-up call?	Kan jeg få vekking?	/kɑn jæɪ foː ˈʋɛkːɪŋ/	Kan jeg få vekking klokka sju?	null
expression	Where is the elevator?	Hvor er heisen?	/ʋuːr ær ˈhæɪsən/	Hvor er heisen?	null
noun	late check-out	en sen utsjekk	/seːn ˈʉtʂɛk/	Sen utsjekk koster ekstra.	null
noun	early check-in	en tidlig innsjekk	/ˈtiːdli ˈɪnːʂɛk/	Tidlig innsjekk er mulig.	null
noun	room service	en romservice	/ˈrʊmˌsærʋɪs/	Romservice er åpen.	null
noun	minibar	en minibar	/ˈmiːnɪˌbɑːr/	Minibaren er tom.	null
noun	parking	en parkering	/pɑrˈkeːrɪŋ/	Parkering er bak hotellet.	audio/forvo_no/no_parkering_5643967_001.mp3
noun	Wi-Fi	en Wi-Fi	/ˈʋiːfi/	Wi-Fi-koden er her.	null
noun	password	et passord	/ˈpɑsɔʈ/	Hva er passordet?	audio/forvo_no/no_passord_3243134_001.mp3
noun	map	et kart	/kɑʈ/	Kan jeg få et kart?	null
noun	receipt	en kvittering	/kʋɪˈteːrɪŋ/	Kan jeg få kvittering?	audio/forvo_no/no_kvittering_4342473_001.mp3
noun	bill	en regning	/ˈreːnɪŋ/	Kan vi få regningen?	audio/forvo_no/no_regning_3483292_001.mp3
verb	to complain	å klage, klager, klaget, har klaget	/ˈklɑːɡə/	Jeg vil klage.	audio/forvo_no/no_Klage_1167216_001.mp3
verb	to report	å melde, melder, meldte, har meldt	/ˈmɛlːə/	Jeg melder fra om støy.	audio/forvo_no/no_melde_1065559_001.mp3
verb	to lose	å miste, mister, mistet, har mistet	/ˈmɪstə/	Jeg har mistet nøkkelkortet.	null
adjective	broken	ødelagt	/ˈøːdəˌlɑkt/	TV-en er ødelagt.	audio/forvo_no/no_delagt_363087_001.mp3
adjective	comfortable	komfortabel	/kɔmfʊrˈtɑːbəl/	Sengen er komfortabel.	audio/forvo_no/no_komfortabel_4761536_001.mp3
expression	The key card doesn't work.	Nøkkelkortet virker ikke.	/ˈnøːkəlˌkɔʈət ˈʋɪrːkər ˈɪkə/	Nøkkelkortet virker ikke.	null
expression	Can I leave my luggage?	Kan jeg sette igjen bagasjen?	/kɑn jæɪ ˈsɛtːə jæɪn bɑˈɡɑːʂən/	Kan jeg sette igjen bagasjen?	null
expression	Is there parking?	Er det parkering?	/æːr dɛ parkəˈreːrɪŋ/	Er det parkering her?	null
expression	I need a receipt.	Jeg trenger kvittering.	/jæɪ ˈtrɛŋər kʋɪˈteːrɪŋ/	Jeg trenger kvittering.	null
expression	Can you call a taxi?	Kan du ringe taxi?	/kɑn dʉ ˈrɪŋə ˈtɑkːsi/	Kan du ringe taxi?	null
noun	city map	et bykart	/ˈbyːˌkɑʈ/	Kan jeg få et bykart?	audio/forvo_no/no_bykart_6475930_001.mp3
noun	guest name	et gjestenavn	/ˈjɛstənɑʋn/	Gjestenavnet står her.	null
noun	ID	en legitimasjon	/leɡitɪmɑˈʂuːn/	Jeg må vise legitimasjon.	audio/forvo_no/no_legitimasjon_2330746_001.mp3
noun	tourist tax	en turistskatt	/tʉˈrɪstˌskɑt/	Turistskatten er inkludert.	null
verb	to check availability	å sjekke tilgjengelighet, sjekker tilgjengelighet, sjekket tilgjengelighet, har sjekket tilgjengelighet	/ˈʂɛkːə tɪlˈjɛŋəlɪheːt/	Kan du sjekke tilgjengelighet?	null
verb	to pay with card	å betale med kort, betaler med kort, betalte med kort, har betalt med kort	/bəˈtɑːlə meː kɔʈ/	Jeg betaler med kort.	null
adjective	full	fullt	/fʉlt/	Hotellet er fullt.	audio/forvo_no/no_fullt_1630176_001.mp3
expression	Do you have a quiet room?	Har dere et stille rom?	/hɑr ˈdeːrə et ˈstɪlːə rʊm/	Har dere et stille rom?	null
expression	Can I get an extra blanket?	Kan jeg få et ekstra teppe?	/kɑn jæɪ foː et ˈɛkstrɑ ˈtɛpːə/	Kan jeg få et ekstra teppe?	null
